radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,"452","4","11205","63895","0","105.8539","21.018","1000","15","1","1458908069","1701265518","0"
GSM,"452","4","11205","60128","0","105.8515","21.0151","1000","5","1","1445340397","1701265517","0"
GSM,"452","4","11205","13583","0","105.8548","21.018","1000","7","1","1453959851","1701265518","0"
GSM,"452","4","11205","60463","0","105.8544","21.0198","1000","2","1","1453959851","1701265518","0"
GSM,"452","4","11205","64364","0","105.8537","21.0218","1000","19","1","1458908070","1701265518","0"
GSM,"452","4","11207","60233","0","105.8409","20.973","1000","7","1","1458028872","1701265515","0"
GSM,"452","4","11207","9193","0","105.8327","20.9657","1110","4","1","1458028872","1701265511","0"
GSM,"452","4","11228","15329","0","105.8027","20.9915","3939","19","1","1429561045","1701265505","0"
GSM,"452","4","11228","10669","0","105.8024","20.9919","1000","8","1","1458908072","1701265504","0"
GSM,"452","4","11407","5722","0","105.8411","20.9769","1000","10","1","1458028894","1701265516","0"
GSM,"452","4","11563","14853","0","105.8023","21.004","1000","33","1","1458908074","1701265504","0"
GSM,"452","4","11205","64365","0","105.8533","21.0202","1000","10","1","1408433849","1701265518","0"
GSM,"452","4","11205","64366","0","105.8524","21.0212","1000","5","1","1408433849","1701265517","0"
GSM,"452","4","11205","63894","0","105.854","21.0174","1000","10","1","1453959851","1701265519","0"
GSM,"452","4","11205","13582","0","105.8546","21.0175","1000","13","1","1453959851","1701265518","0"
GSM,"452","4","11228","62115","0","105.8028","20.9913","1000","20","1","1458908072","1701265504","0"
GSM,"452","4","11228","10662","0","105.8031","20.9913","1000","3","1","1458908072","1701265504","0"
GSM,"452","4","11407","6841","0","105.8411","20.9865","1000","20","1","1453959851","1701265516","0"
GSM,"452","4","11612","6202","0","105.8416","20.9791","2115","2","1","1452045762","1701265511","0"
GSM,"452","4","11612","7813","0","105.8455","20.9969","1000","15","1","1458908075","1701265507","0"
GSM,"452","4","20392","31331","0","106.6707","10.799","959","30","1","1461123926","1744808342","0"
GSM,"452","4","20392","19971","0","106.6814","10.79","500","29","1","1461481711","1744808342","0"
GSM,"452","4","20393","50378","0","106.6844","10.7911","1000","11","1","1461481712","1744808342","0"
GSM,"452","4","20393","13338","0","106.6784","10.7968","604","31","1","1461651785","1744808342","0"
GSM,"452","4","20393","46741","0","106.6859","10.7988","899","35","1","1461651786","1744808342","0"
GSM,"452","4","11217","13473","0","105.7996","20.9958","1000","6","1","1462469957","1701265504","0"
GSM,"452","4","11113","4505","0","105.8558","21.0237","1000","8","1","1464567374","1701265518","0"
GSM,"452","4","20477","53867","0","106.629","10.8227","1000","19","1","1464788928","1738231866","0"
GSM,"452","4","20477","47351","0","106.6259","10.8265","697","28","1","1464788928","1738231865","0"
GSM,"452","4","20521","64257","0","106.698","10.7819","1000","16","1","1464974506","1735808514","0"
GSM,"452","4","20373","46173","0","106.6236","10.8116","1000","7","1","1465085246","1738231866","0"
GSM,"452","4","20475","9151","0","106.6166","10.8095","1000","14","1","1465085247","1738231867","0"
GSM,"452","4","20475","29691","0","106.6206","10.8026","747","26","1","1465085247","1738231867","0"
GSM,"452","4","20475","44688","0","106.6187","10.8057","1000","16","1","1465085247","1738231867","0"
GSM,"452","4","20356","28581","0","106.7595","10.8288","979","50","1","1465235984","1738381149","0"
GSM,"452","4","20453","52079","0","106.7663","10.8132","1965","13","1","1465258078","1738381148","0"
GSM,"452","4","20392","6165","0","106.6728","10.7962","1000","4","1","1465422172","1744808342","0"
GSM,"452","4","20506","64097","0","106.7061","10.7723","1000","6","1","1465571122","1744645142","0"
GSM,"452","4","20507","41921","0","106.7203","10.7639","3635","25","1","1465571122","1735808509","0"
GSM,"452","4","20506","64037","0","106.7007","10.7726","1000","3","1","1465631285","1744645502","0"
GSM,"452","4","20506","21360","0","106.7014","10.7618","1000","4","1","1466019344","1744431901","0"
GSM,"452","4","20507","43131","0","106.7078","10.7649","1686","19","1","1466019344","1744382221","0"
GSM,"452","4","20521","23290","0","106.694","10.7819","1000","4","1","1466594742","1735808514","0"
GSM,"452","4","20616","11834","0","106.7413","10.9438","1000","17","1","1466715754","1738381204","0"
GSM,"452","4","20616","65303","0","106.7415","10.9317","1182","50","1","1466715760","1738381204","0"
GSM,"452","4","20616","13493","0","106.7417","10.9274","1000","24","1","1466715760","1738381203","0"
GSM,"452","4","20615","3198","0","106.7401","10.8961","1000","14","1","1466715765","1738381154","0"
GSM,"452","4","20616","65301","0","106.7419","10.9381","1302","50","1","1466740031","1738381204","0"
GSM,"452","4","20615","53452","0","106.7398","10.8988","1317","50","1","1466715765","1738381202","0"
GSM,"452","4","20615","53451","0","106.7418","10.8995","980","26","1","1466715765","1738381201","0"
GSM,"452","4","20615","53453","0","106.7388","10.9013","1000","21","1","1466715765","1738381201","0"
GSM,"452","4","20616","65362","0","106.7422","10.9348","1000","14","1","1466740031","1738381204","0"
GSM,"452","4","20615","52772","0","106.7406","10.9089","764","28","1","1466715765","1738381202","0"
GSM,"452","4","20616","47390","0","106.7423","10.9369","1000","7","1","1466740030","1738381204","0"
GSM,"452","4","20616","50051","0","106.7412","10.9254","1442","17","1","1466715760","1738381203","0"
GSM,"452","4","20615","14446","0","106.7407","10.912","791","50","1","1466715760","1738381202","0"
GSM,"452","4","20615","3197","0","106.7404","10.8995","961","27","1","1466715765","1738381201","0"
GSM,"452","4","20615","52771","0","106.7407","10.91","755","50","1","1466715765","1738381202","0"
GSM,"452","4","20616","13491","0","106.7419","10.9299","1180","50","1","1466715760","1738381204","0"
GSM,"452","4","20356","47251","0","106.7565","10.8335","1277","48","1","1466766433","1738381149","0"
GSM,"452","4","20475","29693","0","106.6193","10.7994","642","25","1","1466914046","1738231868","0"
GSM,"452","4","20506","24790","0","106.7056","10.7736","1000","4","1","1466960744","1744645142","0"
GSM,"452","4","20353","40071","0","106.7504","10.8369","1999","23","1","1467162255","1738381150","0"
UMTS,"452","1","13002","78726341","157","105.8405","21.0381","1000","2","1","1467519450","1712468102","0"
GSM,"452","4","20506","64247","0","106.7063","10.7722","1000","3","1","1467989496","1744645142","0"
GSM,"452","4","20506","47024","0","106.6995","10.761","1000","5","1","1467963920","1744431901","0"
UMTS,"452","1","13003","78722888","188","105.8414","21.0004","1000","5","1","1467994105","1701775262","0"
GSM,"452","4","20477","53868","0","106.6213","10.8146","1177","17","1","1467997564","1738231867","0"
GSM,"452","4","11613","61948","0","105.843","20.9974","1000","11","1","1468352267","1701265508","0"
GSM,"452","4","11613","61947","0","105.8446","20.9971","1000","13","1","1468352267","1701265507","0"
GSM,"452","4","20477","12897","0","106.6217","10.809","3719","32","1","1468688734","1738231867","0"
GSM,"452","4","11407","10762","0","105.8126","20.9787","1000","6","1","1468848087","1701265505","0"
GSM,"452","4","11407","8750","0","105.8095","20.9807","1000","6","1","1468872321","1701265505","0"
GSM,"452","4","20603","57294","0","106.6243","11.1101","1942","4","1","1469315061","1738381217","0"
GSM,"452","4","20603","9657","0","106.6111","11.1304","1535","13","1","1469315049","1738381218","0"
GSM,"452","4","20603","55655","0","106.6037","11.1403","1191","39","1","1469315049","1738381220","0"
GSM,"452","4","20603","45360","0","106.6037","11.1415","1157","23","1","1469315049","1738381220","0"
GSM,"452","4","20603","55665","0","106.6353","11.0854","995","50","1","1469315066","1738381215","0"
GSM,"452","4","20603","55664","0","106.6324","11.0867","2550","19","1","1469315066","1738381215","0"
GSM,"452","4","20603","50741","0","106.6063","11.1345","1602","25","1","1469315049","1738381220","0"
GSM,"452","4","20603","1947","0","106.6002","11.1444","1605","26","1","1469315049","1738381220","0"
GSM,"452","4","20603","53981","0","106.6382","11.0837","1696","49","1","1469315066","1738381215","0"
GSM,"452","4","20603","3908","0","106.6071","11.1334","1000","9","1","1469315049","1738381219","0"
GSM,"452","4","20603","53983","0","106.6284","11.0888","2013","22","1","1469315066","1738381216","0"
GSM,"452","4","20603","56975","0","106.6178","11.1151","2652","34","1","1469315061","1738381218","0"
GSM,"452","4","20603","55656","0","106.5914","11.1526","2581","34","1","1469315049","1738381222","0"
GSM,"452","4","20603","10662","0","106.6073","11.1341","4357","41","1","1469315061","1738381220","0"
GSM,"452","4","20603","64221","0","106.6234","11.1019","1532","50","1","1469315061","1738381217","0"
GSM,"452","4","20603","56974","0","106.6155","11.1217","2971","31","1","1469315061","1738381218","0"
